name,age,age_group,country,handedness,home_location_type,sleep,sleep_group,tertiary_qualifications
Harry Cain,43,4,1,1,1,7.0,2,1
Timothy Benitez,37,3,3,1,3,9.0,3,1
Paul Pena,35,3,1,1,3,6.0,1,2
Bridget Randall,10,1,2,1,1,9.5,3,1
Lindsay Whitaker,75,7,4,3,1,6.0,1,2
Nancy Ingram,26,2,2,1,1,7.5,2,1
Miguel Stephens MD,54,5,3,1,3,8.5,2,2
Tonya Walker,27,2,1,1,1,9.5,3,1
Melissa Tyler,86,8,1,1,1,7.5,2,1
Daniel Morales,81,8,1,3,1,8.5,2,2
Tiffany Brown,9,1,1,2,2,6.0,1,1
Collin Edwards,55,5,1,1,1,6.5,1,1
Megan Bean,21,2,3,1,3,7.5,2,2
Kathy Mills,62,6,3,1,3,4.5,1,1
Cynthia Prince,69,6,1,1,1,6.0,1,2
Nicholas Whitehead,54,5,3,2,3,7.5,2,2
Robert Smith,25,2,3,2,1,8.0,2,2
Billy Torres,25,2,3,1,2,6.0,1,1
Wesley Williams,18,1,1,1,2,9.0,3,1
Darlene Cunningham,29,2,1,1,1,8.5,2,1
Elizabeth Rogers,55,5,1,1,3,5.5,1,1
Teresa Andrews,45,4,1,3,2,6.0,1,1
Summer French,51,5,3,1,1,6.0,1,1
Carolyn Williams,10,1,4,1,1,10.0,3,1
Roger Fry,28,2,3,1,1,8.0,2,1
Danny Miller,41,4,1,1,1,6.0,1,1
Sean Anderson,23,2,1,3,1,10.0,3,1
Cheryl Wilson,30,3,3,1,1,8.0,2,1
Jesus Payne,33,3,1,1,3,6.0,1,1
Troy Caldwell,47,4,1,1,1,11.5,3,1
Lisa Bell,27,2,2,1,2,11.0,3,1
Valerie Gardner,78,7,2,2,1,4.5,1,1
Brian Crane,50,5,3,1,2,9.0,3,2
Natasha Wood,54,5,1,1,1,9.5,3,1
Theodore Burton,23,2,1,2,3,8.5,2,1
Haley Walker,17,1,4,1,2,8.5,2,1
Hunter Hernandez,45,4,1,1,1,7.5,2,3
Abigail Thompson,18,1,3,1,2,8.5,2,1
Melanie Burgess,35,3,4,1,3,9.5,3,1
Andrea Kaufman,31,3,1,1,1,5.5,1,1
Leah Hicks,16,1,3,1,2,7.0,2,1
Robert Vega,31,3,1,2,2,7.0,2,1
Kristen Carter,84,8,1,1,2,9.0,3,1
Tiffany Williams PhD,85,8,4,1,3,5.5,1,3
Lisa Burke,69,6,4,2,2,10.0,3,1
Caleb Roberts,36,3,3,1,2,9.5,3,3
Ruth Clark,70,7,3,2,3,7.0,2,1
Angela Torres,86,8,2,1,1,6.0,1,1
Jennifer Ortiz,35,3,1,3,1,10.5,3,1
Jason Shelton,65,6,3,1,2,7.5,2,1
Jessica Ali,8,1,1,1,3,7.5,2,1
Emily Rodriguez,37,3,3,1,2,6.5,1,3
John Hess,81,8,1,3,1,6.0,1,1
Miss Amber Romero,78,7,1,2,1,8.0,2,1
Elizabeth Stevenson,36,3,4,1,1,9.5,3,1
Adam Brown,17,1,1,1,1,7.0,2,1
Mr. Brian Nguyen,63,6,4,1,2,8.5,2,1
Brent Cook,24,2,1,1,1,8.0,2,1
Carla Pitts,62,6,4,1,2,7.0,2,2
Mrs. Elizabeth Ford,32,3,1,1,3,7.0,2,3
Karen Brown,79,7,2,1,1,8.0,2,1
Kathryn Davenport,53,5,2,2,1,7.5,2,1
Gavin Hunt,97,8,2,1,1,5.5,1,1
Morgan Ayala,24,2,3,1,2,8.0,2,1
Mr. Neil Marshall,8,1,3,1,1,5.5,1,1
Regina Gonzalez,29,2,1,1,2,8.5,2,1
Miss Brittany Price DDS,23,2,4,1,2,8.5,2,1
James Hensley,16,1,2,1,2,8.0,2,1
Anthony Hudson,16,1,3,1,3,7.0,2,1
Matthew Taylor,40,4,1,1,1,5.5,1,3
Riley Morgan,53,5,2,3,2,6.5,1,1
Danielle Gutierrez,56,5,1,2,1,7.0,2,1
Jeffrey Allen,67,6,1,1,1,6.0,1,1
Robert Foster,73,7,1,1,1,9.5,3,1
Isaiah Thomas,28,2,1,1,1,8.0,2,2
Sara Heath,33,3,2,1,1,7.0,2,1
